215.176.176.29,Oregon
107.141.120.94,Arkansas
40.6.42.70,Oklahoma
156.106.34.195,Nevada
241.110.212.63,Arkansas
40.22.238.239,Arizona
24.76.42.159,Tennessee
161.65.19.246,Alaska
66.184.177.158,New York
157.132.215.113,Oklahoma
48.46.240.187,Montana
170.243.155.196,Alabama
51.187.22.206,Arkansas
217.6.164.186,Nebraska
200.44.77.108,Tennessee
119.141.48.171,Oklahoma
201.228.190.109,Alaska
102.244.72.181,North Dakota
96.133.88.201,Utah
14.253.129.195,California
188.142.53.53,Idaho
32.101.95.112,Texas
159.40.38.49,District Of Columbia
181.27.54.176,Oregon
37.11.85.196,Rhode Island
245.148.107.77,District Of Columbia
77.123.129.28,Indiana
203.216.70.102,Massachusetts
123.180.63.122,Georgia
227.98.56.48,Oregon
177.139.125.155,Hawaii
195.91.1.237,Arizona
120.4.204.202,Rhode Island
115.98.5.83,Virginia
177.17.79.99,Texas
14.24.53.252,Illinois
183.248.64.13,Mississippi
87.194.45.198,Connecticut
69.21.145.106,North Dakota
237.220.252.103,Georgia
252.41.5.198,North Dakota
242.228.246.145,Indiana
52.171.114.86,New Hampshire
70.202.6.150,Minnesota
67.217.232.221,Nebraska
169.164.197.152,Florida
40.66.1.91,North Carolina
24.210.17.61,Montana
202.166.182.72,Washington
65.173.253.115,Florida
137.112.221.191,Texas
197.99.229.177,Arizona
134.122.75.98,North Carolina
213.8.92.195,Vermont
150.156.8.141,Oklahoma
189.1.103.36,Utah
134.140.219.25,Utah
28.104.15.143,West Virginia
97.229.165.55,Rhode Island
230.140.63.33,Utah
85.131.236.23,Oregon
7.59.253.94,Massachusetts
221.55.103.214,South Carolina
78.149.188.111,Utah
110.79.66.221,Missouri
141.111.21.61,Minnesota
98.238.63.9,Hawaii
223.127.74.254,Connecticut
33.43.46.10,North Dakota
101.140.197.167,New Hampshire
41.131.205.121,Idaho
109.231.196.214,Vermont
32.108.137.246,Wisconsin
143.63.1.74,North Carolina
176.49.136.44,Maine
58.54.94.150,Washington
254.18.182.111,Indiana
35.92.128.174,Ohio
202.10.204.238,Georgia
179.143.202.80,New Hampshire
211.180.33.192,Missouri
42.209.224.123,Pennsylvania
114.190.48.124,Minnesota
217.131.139.210,Alabama
57.216.116.103,Texas
72.205.95.131,District Of Columbia
209.159.101.29,Maine
150.54.64.174,Texas
139.35.82.250,Georgia
214.134.254.147,Wisconsin
42.246.197.205,Louisiana
237.41.161.42,Missouri
121.102.220.158,Kentucky
37.139.170.175,Rhode Island
40.4.5.85,Minnesota
124.13.53.37,Idaho
12.134.199.9,Minnesota
186.61.26.179,North Dakota
155.72.249.132,West Virginia
219.145.14.40,Arkansas
29.83.198.230,Washington
57.184.121.133,Nebraska
254.221.232.104,Tennessee
159.208.254.46,Louisiana
88.3.177.72,Virginia
180.95.233.65,West Virginia
56.64.183.50,Arizona
156.156.68.140,Wisconsin
196.97.179.243,Missouri
189.254.140.194,Pennsylvania
204.244.112.3,New Jersey
26.5.34.128,District Of Columbia
193.158.218.39,Oregon
155.87.170.117,Florida
183.176.128.23,Maine
105.79.190.51,West Virginia
87.96.18.237,West Virginia
147.115.92.209,Rhode Island
64.240.42.153,Alabama
165.123.92.48,Kansas
114.50.30.137,California
204.182.76.229,Kentucky
99.196.161.27,Vermont
235.213.35.92,North Dakota
67.48.142.131,Georgia
103.168.186.62,Oklahoma
196.192.160.19,Nebraska
151.145.74.27,Georgia
21.131.103.147,Georgia
9.192.70.85,Connecticut
208.48.194.236,Mississippi
230.205.240.235,New Hampshire
119.190.56.138,Oregon
106.45.227.109,Connecticut
178.50.150.15,New York
157.156.22.10,Washington
250.151.6.125,Virginia
158.109.114.226,Colorado
13.41.111.7,California
6.157.70.214,Vermont
194.162.252.82,Connecticut
184.121.198.249,Maine
